model,tier,n_questions,n_systems,chi2,p
claude-haiku-4-5,200,226,5,104.82710513203686,9.220082514014805e-22
claude-haiku-4-5,2000,267,5,162.61627389951042,4.01575825140981e-34
claude-haiku-4-5,20000,143,5,86.70347003154555,6.599200379671962e-18
llama-3.1-8b,200,266,5,589.0752688172042,3.58544823094791e-126
llama-3.1-8b,2000,255,5,363.74212034383964,1.890371373905455e-77
llama-3.1-8b,20000,160,5,266.6090261282658,1.7166279130797463e-56
qwen-2.5-72b,200,214,5,35.10400000000056,4.422358941568184e-07
qwen-2.5-72b,2000,227,5,25.627983539094156,3.760739713192345e-05
qwen-2.5-72b,20000,145,5,19.056582633052678,0.0007660789913423648
