model,system,pct_full,pct_partial,pct_zero
claude-haiku-4-5,graph,0.7012847965738758,0.16059957173447537,0.1381156316916488
claude-haiku-4-5,graph-cypher,0.7321248741188319,0.17220543806646527,0.09566968781470292
claude-haiku-4-5,llm-only,0.541727672035139,0.2020497803806735,0.2562225475841874
claude-haiku-4-5,sql-fts,0.40122199592668023,0.1364562118126273,0.4623217922606925
claude-haiku-4-5,sql-t2s,0.7594142259414226,0.15690376569037656,0.08368200836820083
llama-3.1-8b,graph,0.1125,0.09479166666666666,0.7927083333333333
llama-3.1-8b,graph-cypher,0.10191082802547771,0.05732484076433121,0.8407643312101911
llama-3.1-8b,llm-only,0.4373297002724796,0.3419618528610354,0.22070844686648503
llama-3.1-8b,sql-fts,0.5155466399197592,0.24473420260782347,0.23971915747241726
llama-3.1-8b,sql-t2s,0.125,0.06508264462809918,0.8099173553719008
qwen-2.5-72b,graph,0.5597165991902834,0.14271255060728744,0.2975708502024291
qwen-2.5-72b,graph-cypher,0.4988888888888889,0.19111111111111112,0.31
qwen-2.5-72b,llm-only,0.5350500715307582,0.2145922746781116,0.2503576537911302
qwen-2.5-72b,sql-fts,0.4297435897435897,0.17435897435897435,0.3958974358974359
qwen-2.5-72b,sql-t2s,0.6598493003229279,0.16792249730893433,0.1722282023681378
