model,tier,system,qid,type,judge,fuzzy,latency_ms,cost_usd,turns,gt_suspect,over_answered
claude-haiku-4-5,200,graph,COH-38,cohort,1.0,1.0,8648,0.02066765,2.0,False,False
claude-haiku-4-5,200,sql-fts,COH-38,cohort,0.0,0.0,4319,0.0151163,1.0,False,False
claude-haiku-4-5,200,sql-t2s,COH-38,cohort,0.5,0.8000000000000002,8321,0.021043150000000004,2.0,False,False
claude-haiku-4-5,200,graph,UNA-6,unanswerable,0.0,1.0,30634,0.05779595,6.0,False,False
claude-haiku-4-5,200,sql-fts,UNA-6,unanswerable,1.0,1.0,3159,0.011250050000000001,1.0,False,False
claude-haiku-4-5,200,sql-t2s,UNA-6,unanswerable,0.5,0.5,22794,0.0557459,6.0,False,False
claude-haiku-4-5,200,llm-only,UNA-6,unanswerable,1.0,1.0,4008,0.01443255,1.0,False,False
claude-haiku-4-5,200,graph,TMP-57,temporal,0.5,0.8461538461538461,12934,0.0301452,4.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-57,temporal,0.0,0.5384615384615384,5657,0.013960049999999998,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-57,temporal,0.5,0.7692307692307693,9408,0.022522300000000002,2.0,False,False
claude-haiku-4-5,200,llm-only,TMP-57,temporal,0.5,0.6923076923076923,4414,0.01903755,1.0,False,False
claude-haiku-4-5,200,graph,SL-4,simple-lookup,1.0,1.0,9013,0.03527555,4.0,False,False
claude-haiku-4-5,200,sql-fts,SL-4,simple-lookup,1.0,1.0,3511,0.0191988,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-4,simple-lookup,1.0,1.0,6120,0.020938150000000003,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-4,simple-lookup,1.0,1.0,3026,0.02505755,1.0,False,False
claude-haiku-4-5,200,graph,RSN-43,reasoning,0.5,0.75,36218,0.0703328,8.0,False,False
claude-haiku-4-5,200,sql-fts,RSN-43,reasoning,0.5,0.25,11978,0.01755505,1.0,False,False
claude-haiku-4-5,200,sql-t2s,RSN-43,reasoning,1.0,1.0,70550,0.13811145,15.0,False,False
claude-haiku-4-5,200,llm-only,RSN-43,reasoning,0.5,0.5,14784,0.023098800000000003,1.0,False,False
claude-haiku-4-5,200,graph,MH-114,multi-hop,1.0,0.5,8294,0.033448149999999996,2.0,False,False
claude-haiku-4-5,200,sql-fts,MH-114,multi-hop,0.0,0.0,7759,0.0115563,1.0,False,False
claude-haiku-4-5,200,sql-t2s,MH-114,multi-hop,1.0,0.5,13119,0.030541899999999997,3.0,False,False
claude-haiku-4-5,200,llm-only,MH-114,multi-hop,0.0,0.0,3907,0.0112663,1.0,False,False
claude-haiku-4-5,200,graph,COH-12,cohort,1.0,1.0,11717,0.026632,3.0,False,False
claude-haiku-4-5,200,sql-fts,COH-12,cohort,0.0,0.0,5583,0.01598755,1.0,False,False
claude-haiku-4-5,200,sql-t2s,COH-12,cohort,1.0,1.0,23996,0.045965500000000006,4.0,False,False
claude-haiku-4-5,200,llm-only,COH-12,cohort,0.0,0.0,3502,0.02915255,1.0,False,False
claude-haiku-4-5,200,graph,UNA-1,unanswerable,0.5,1.0,6403,0.019243,2.0,False,False
claude-haiku-4-5,200,sql-fts,UNA-1,unanswerable,1.0,1.0,2752,0.0082688,1.0,False,False
claude-haiku-4-5,200,sql-t2s,UNA-1,unanswerable,1.0,1.0,7048,0.026521350000000003,3.0,False,False
claude-haiku-4-5,200,llm-only,UNA-1,unanswerable,1.0,1.0,2790,0.00807255,1.0,False,False
claude-haiku-4-5,200,graph,TMP-131,temporal,1.0,1.0,12702,0.029343900000000003,3.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-131,temporal,1.0,1.0,3168,0.01309505,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-131,temporal,1.0,0.8,7694,0.020885149999999998,2.0,False,False
claude-haiku-4-5,200,llm-only,TMP-131,temporal,1.0,0.8,3590,0.01874255,1.0,False,False
claude-haiku-4-5,200,graph,SL-66,simple-lookup,1.0,1.0,5967,0.02026775,2.0,False,False
claude-haiku-4-5,200,sql-fts,SL-66,simple-lookup,1.0,1.0,2729,0.01175005,1.0,False,False
claude-haiku-4-5,200,sql-t2s,SL-66,simple-lookup,1.0,1.0,5543,0.0201845,2.0,False,False
claude-haiku-4-5,200,llm-only,SL-66,simple-lookup,1.0,1.0,3303,0.01596505,1.0,False,False
claude-haiku-4-5,200,graph,TMP-9,temporal,0.5,0.6153846153846154,10109,0.029682,3.0,False,False
claude-haiku-4-5,200,sql-fts,TMP-9,temporal,0.0,0.38461538461538464,6495,0.031862549999999996,1.0,False,False
claude-haiku-4-5,200,sql-t2s,TMP-9,temporal,0.5,0.5384615384615384,20081,0.030730849999999997,2.0,False,False
claude-haiku-4-5,200,llm-only,TMP-9,temporal,1.0,0.8461538461538461,7499,0.0296213,1.0,False,False
claude-haiku-4-5,200,graph,SL-148,simple-lookup,0.0,0.5,29692,0.06766014999999999,8.0,False,False
