model,tier,n_cells,judge_mean,pct_full,pct_partial,pct_zero
claude-haiku-4-5,200,1479,0.7359702501690332,0.6572008113590264,0.15753887762001353,0.1852603110209601
claude-haiku-4-5,2000,1599,0.6901188242651657,0.6016260162601627,0.17698561601000626,0.22138836772983114
claude-haiku-4-5,20000,1470,0.7153061224489796,0.638095238095238,0.154421768707483,0.20748299319727892
llama-3.1-8b,200,1600,0.304375,0.239375,0.13,0.630625
llama-3.1-8b,2000,1585,0.3662460567823344,0.2807570977917981,0.17097791798107256,0.5482649842271293
llama-3.1-8b,20000,1416,0.3135593220338983,0.2344632768361582,0.15819209039548024,0.6073446327683616
qwen-2.5-72b,200,1530,0.6003267973856209,0.5098039215686274,0.18104575163398692,0.30915032679738563
qwen-2.5-72b,2000,1542,0.6190012970168612,0.5317769130998703,0.17444876783398183,0.29377431906614787
qwen-2.5-72b,20000,1419,0.6550387596899225,0.569415081042988,0.17124735729386892,0.25933756166314303
