model,system,judge_mean,cost_mean,cost_total,n
claude-haiku-4-5,graph,0.7815845824411135,0.05411464619914347,50.54307955,934
claude-haiku-4-5,graph-cypher,0.8182275931520645,0.04435892009063444,44.04840765,993
claude-haiku-4-5,llm-only,0.6427525622254758,0.02134681559297218,14.57987505,683
claude-haiku-4-5,sql-fts,0.4694501018329939,0.0169306216395112,16.62587045,982
claude-haiku-4-5,sql-t2s,0.8378661087866108,0.04175346689330544,39.91631435,956
qwen-2.5-72b,graph-cypher,0.5092165898617511,0.0,0.0,217
