model,n,weighted_kappa,spearman
claude-haiku-4-5,4548,0.5239043596235751,0.6048707521604345
qwen-2.5-72b,4491,0.44332908572112584,0.5715695539823812
llama-3.1-8b,4601,0.4655222170903611,0.5849175980797464
