model,tier,tool_mean,llm_only_mean,gap,n_tool,n_llm
claude-haiku-4-5,200,0.8364745011086474,0.6736641221374046,0.16281037897124284,902,262
claude-haiku-4-5,2000,0.79313824419778,0.6277372262773723,0.16540101792040773,991,274
claude-haiku-4-5,20000,0.8111111111111111,0.6156462585034014,0.19546485260770974,990,147
llama-3.1-8b,200,0.09415911379657603,0.614963503649635,-0.520804389853059,993,274
llama-3.1-8b,2000,0.2010204081632653,0.6194852941176471,-0.4184648859543818,980,272
llama-3.1-8b,20000,0.1544035674470457,0.5824468085106383,-0.42804324106359265,897,188
qwen-2.5-72b,200,0.6390086206896551,0.6107011070110702,0.028307513678584972,928,271
qwen-2.5-72b,2000,0.6447916666666667,0.6628352490421456,-0.018043582375478984,960,261
qwen-2.5-72b,20000,0.686221743810549,0.6616766467065869,0.024545097103962132,929,167
